person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
3606,1,150.0,162.5,-172.5,162.5,-100.0,-100.0,,-100.0,212.5,220.0,-227.5,-100.0,
3607,1,80.0,,,80.0,-180.0,-180.0,-180.0,,-75.0,,,,
3608,1,225.0,240.0,-250.0,240.0,120.0,130.0,-137.5,130.0,220.0,230.0,240.0,130.0,610.0
3609,1,245.0,265.0,-280.0,265.0,180.0,-190.5,-190.5,180.0,265.0,-285.0,-285.0,180.0,710.0
3610,1,285.0,300.0,305.0,305.0,152.5,160.0,165.0,165.0,265.0,282.5,285.0,165.0,755.0
3611,1,310.0,330.0,-350.0,330.0,140.0,160.0,180.0,180.0,292.5,307.5,317.5,180.0,827.5
3612,1,250.0,272.5,,272.5,140.0,152.5,-160.0,152.5,250.0,-275.0,-275.0,152.5,675.0
3613,1,175.0,187.5,-200.0,187.5,-105.0,-112.5,112.5,112.5,175.0,192.5,-200.0,112.5,492.5
3614,1,290.0,-310.0,310.0,310.0,190.0,-200.0,-200.0,190.0,275.0,295.0,302.5,190.0,802.5
3615,1,260.0,-280.0,280.0,280.0,150.0,157.5,160.0,160.0,255.0,265.0,270.0,160.0,710.0
3616,1,265.0,280.0,290.0,290.0,165.0,172.5,-177.5,172.5,260.0,275.0,-292.5,172.5,737.5
3617,1,220.0,232.5,-240.5,232.5,-180.5,180.5,-193.0,180.5,220.0,232.5,-242.5,180.5,645.0
3618,1,260.0,-280.0,280.0,280.0,210.0,225.0,232.5,232.5,-310.0,-320.0,320.0,232.5,832.5
3619,1,80.0,,,80.0,195.0,205.0,-207.5,205.0,305.0,330.0,340.0,205.0,625.0
3620,1,195.0,-207.5,215.0,215.0,120.0,127.5,-135.0,127.5,220.0,232.5,247.5,127.5,590.0
3621,1,230.0,250.0,260.0,260.0,-180.0,180.0,-200.0,180.0,-230.0,230.0,-260.0,180.0,670.0
3622,1,300.0,315.0,330.0,330.0,170.0,180.0,-187.5,180.0,300.0,307.5,-330.0,180.0,817.5
3623,1,230.0,237.5,-242.5,237.5,140.0,145.0,-150.0,145.0,200.0,210.0,217.5,145.0,600.0
3624,1,230.0,245.0,255.0,255.0,170.0,175.0,180.0,180.0,280.0,300.0,-305.0,180.0,735.0
3625,1,250.0,265.0,272.5,272.5,120.0,,,120.0,255.0,272.5,-280.0,120.0,665.0
3626,1,-160.0,165.0,177.5,177.5,100.0,107.5,-112.5,107.5,195.0,205.0,215.0,107.5,500.0
3627,1,115.0,122.5,130.0,130.0,100.0,110.0,117.5,117.5,125.0,137.5,150.0,117.5,397.5
3628,1,-235.0,235.0,255.0,255.0,165.0,175.0,182.5,182.5,240.0,262.5,272.5,182.5,710.0
3629,1,200.0,207.5,-215.0,207.5,-130.0,-130.0,130.0,130.0,220.0,240.0,-250.0,130.0,577.5
3630,1,-295.0,-295.0,-295.0,,75.0,,,75.0,340.0,360.0,-370.0,75.0,
3631,1,-160.0,-160.0,160.0,160.0,90.0,-102.5,102.5,102.5,170.0,180.0,-185.0,102.5,442.5
